variant,member,is_seed,num_variables,objective_cost,social_value,profit,emissions_value,pv_revenue,crop_revenue,yearly_biomass,total_panels,mean_tracking_deg,max_tracking_deg
SingleAxisOLDRules,10,0,103,-269344.739007578,269344.739007578,-349231.312710574,618576.051718151,207824.509451232,230834.280452086,668.614017397401,352,11.7211266416831,58.2567797036393
SingleAxisOLDRules,11,0,103,-276412.543110851,276412.543110851,-347596.598451151,624009.141562002,209406.607745102,230886.896417638,668.766420116953,352,11.0681781566469,56.6685775518883
SingleAxisOLDRules,12,0,103,-277214.780255113,277214.780255113,-347383.519192496,624598.299447609,209692.860584129,230813.722837267,668.55447204129,352,10.9645829906349,55.200317214058
SingleAxisOLDRules,13,0,103,-276643.671712945,276643.671712945,-347540.132979373,624183.804692318,209509.838977504,230840.130657014,668.630962579944,352,11.7213504926829,55.7801325446733
SingleAxisOLDRules,14,0,103,-275149.874668233,275149.874668233,-347747.950764449,622897.825432683,209313.746780815,230828.405068628,668.596999284969,352,12.1559176988008,60
SingleAxisOLDRules,15,0,103,-271693.760094932,271693.760094932,-348826.885276685,620520.645371617,208234.285237653,230828.932099554,668.598525835809,352,11.9568180695697,60
SingleAxisOLDRules,16,0,103,-284963.437463768,284963.437463768,-345615.307456525,630578.744920294,211465.906215894,230808.888941472,668.540470609263,352,11.7560844319084,60
SingleAxisOLDRules,17,0,103,-279939.786583607,279939.786583607,-346738.052633353,626677.83921696,210341.947288325,230810.102692215,668.543986251559,352,10.6098303482259,57.0924559841249
SingleAxisOLDRules,18,0,103,-275992.70349323,275992.70349323,-347714.769641278,623707.473134508,209309.821284545,230865.511688069,668.704479013924,352,11.152510967726,56.8273904116384
SingleAxisOLDRules,19,0,103,-276728.709357258,276728.709357258,-347554.033566148,624282.742923406,209519.72432421,230816.344723534,668.562066363531,352,11.2083864228849,57.3059058646712
SingleAxisOLDRules,20,0,103,-275861.8452984,275861.8452984,-347682.88935029,623544.73464869,209411.563538773,230795.64972483,668.502123073492,352,11.3225763204123,60
SingleAxisNEWRules,1,1,103,-290980.655143577,290980.655143577,-344145.921258391,635126.576401968,212910.743437696,230833.437917805,668.611576987642,352,9.22533975312563,51.4692869867387
SingleAxisNEWRules,2,0,103,-217468.960286802,217468.960286802,-363936.978098235,581405.938385037,193089.814497699,230863.310017958,668.698101852372,352,0.798738301357325,47.3055041196675
SingleAxisNEWRules,3,0,103,-245013.25792466,245013.25792466,-357640.405621558,602653.663546219,199524.266191507,230725.430800826,668.298733192305,352,-6.49858560468509,44.2366396608031
SingleAxisNEWRules,4,0,103,-183189.365543479,183189.365543479,-373263.272095083,556452.637638562,183611.247313261,231015.583205548,669.139162805266,352,-5.13770781670251,35.0457622284655
SingleAxisNEWRules,5,0,103,-182828.159133752,182828.159133752,-373196.587295836,556024.746429588,183771.212163943,230922.303154113,668.868976116309,352,-2.20546512802814,44.3009547640261
SingleAxisNEWRules,6,0,103,-207982.203872918,207982.203872918,-366228.414654993,574210.618527911,190868.089300084,230793.598658815,668.496182138353,352,-0.682644289216612,31.8882722037616
SingleAxisNEWRules,7,0,103,-232289.16482787,232289.16482787,-359466.366662575,591755.531490445,197774.836509714,230648.899441603,668.077059273479,352,3.96614583649131,41.1595339343398
SingleAxisNEWRules,8,0,103,-190328.833900756,190328.833900756,-369504.9183242,559833.752224957,187726.698470613,230658.485819078,668.104826320659,352,2.60401726341875,42.4323490295162
SingleAxisNEWRules,9,0,103,-182133.230710881,182133.230710881,-371868.717811535,554001.948522416,185400.936322252,230620.448480105,667.994650752402,352,2.53256235384813,56.2212941743573
SingleAxisNEWRules,10,0,103,-160133.378651789,160133.378651789,-377680.558731815,537813.937383604,179234.166237094,230975.377644983,669.022706959459,352,0.739031930552513,49.2643307861574
SingleAxisNEWRules,11,0,103,-162058.188389255,162058.188389255,-376452.804136776,538510.99252603,180720.913822431,230716.384654685,668.27253093109,352,3.42841566590984,52.1747621246427
SingleAxisNEWRules,12,0,103,-144578.290064236,144578.290064236,-380702.216321437,525280.506385672,176360.205141282,230827.681151174,668.594902450147,352,2.61574440716271,41.7165003792783
SingleAxisNEWRules,13,0,103,-192397.111772937,192397.111772937,-370422.236937599,562819.348710537,186833.831488569,230634.034187723,668.034001903071,352,1.42989793865575,39.5479207909945
SingleAxisNEWRules,14,0,103,-204925.138335726,204925.138335726,-367999.429845464,572924.56818119,189132.08883795,230758.583930478,668.394761594856,352,0.328252577238747,45.4355317517441
SingleAxisNEWRules,15,0,103,-253863.300380051,253863.300380051,-353427.557281284,607290.857661335,203884.026233925,230578.519098683,667.873201840634,352,3.81875611025238,47.3652692555361
SingleAxisNEWRules,16,0,103,-209745.953537202,209745.953537202,-366189.729477765,575935.683014967,190817.588116562,230882.785019565,668.754511407477,352,-1.67917645608584,44.9275482618147
SingleAxisNEWRules,17,0,103,-223575.096080274,223575.096080274,-363209.905631259,586785.001711533,193983.10623738,230697.090745253,668.216645911451,352,-0.362949197152913,46.7924078234858
SingleAxisNEWRules,18,0,103,-244875.779655368,244875.779655368,-356619.399919703,601495.17957507,200428.698272151,230842.004422038,668.636389960825,352,0.971542230849376,45.8920644866867
SingleAxisNEWRules,19,0,103,-195913.052069326,195913.052069326,-368366.781057383,564279.833126709,188754.286084367,230769.035472142,668.425034599569,352,0.503109055521184,45.8716420946856
SingleAxisNEWRules,20,0,103,-146805.723112351,146805.723112351,-380587.01587034,527392.738982691,176590.232433095,230712.854310457,668.262305250433,352,4.58730642638707,49.3347126562889
