Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,983795,-,-,-,42.29,-83.74,-5,263,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,DHI,DNI,Solar Zenith Angle,Precipitable Water,Temperature,Relative Humidity,Wind Direction,Wind Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,1,30,0,0,157.83,0.5,-5.9,83.74,349,2.4000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,2,30,0,0,149.87,0.5,-6,83.19,349,2.4000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,3,30,0,0,139.68,0.5,-6.2,83.4,350,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,4,30,0,0,128.75,0.5,-6.3,82.97,349,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,5,30,0,0,117.67,0.5,-6.3,82.39,351,2.8000000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,6,30,0,0,106.8,0.4,-6.3,82.21000000000001,355,3.3000000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,7,30,0,0,96.41,0.4,-6.4,81.8,179,3.8000000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,8,30,23,0,86.58,0.4,-6.1,77.56,4,4.6000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,9,30,124,8,78.29,0.4,-5.3,73.21000000000001,10,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,10,30,210,13,71.54,0.30000000000000004,-4.9,69.27,14,5.6000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,11,30,160,0,66.94,0.30000000000000004,-4.7,65.14,16,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,12,30,277,74,65.02,0.30000000000000004,-4.7,62.65,18,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
